09/19/16 13:24:58:490 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | cmdline option: -logFile = /Volumes/Storage/cache/library.fbellott/Application Support/Adobe/AAMUpdater/1.0/aamul.log
09/19/16 13:24:58:490 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | cmdline option: -logLevel = 2
09/19/16 13:24:58:490 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | StartupUtility : Loaded at startup/logon.
09/19/16 13:24:58:853 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | CheckIfUpdaterIsEnabled : UpdaterIsNotEnabled.
09/19/16 13:24:58:853 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | StartupUtility : WARNING - Updater is NOT enabled.
09/19/16 13:24:58:853 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | Updater has never been run on the machine.
09/19/16 13:24:58:853 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | StartupUtility : Window is NOT Elapsed.
09/19/16 13:24:58:853 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | AdobeUpdaterGoCartLauncher : inside initialize.
09/19/16 13:25:00:601 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | AdobeUpdaterGoCartLauncher : inside getLatestGCApplication.
09/19/16 13:25:00:867 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | AdobeUpdaterGoCartLauncher : inside waitForCFUCallBack.
09/19/16 13:25:13:412 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | AdobeUpdaterGoCartLauncher : AdobeGC_CFUCallbackFn is invoked
09/19/16 13:25:13:412 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | AdobeUpdaterGoCartLauncher : inside invokeGCApplication.
09/19/16 13:25:43:576 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | AdobeUpdaterGoCartLauncher : AdobeGC_ReleaseRef called.
09/19/16 13:25:43:576 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | AdobeUpdaterGoCartLauncher : inside finalize.
09/19/16 13:25:43:576 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2435619 | AdobeUpdaterGoCartLauncher : unloaded goCart library
09/19/16 13:29:32:368 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | >>> Adobe Updater Log Begin >>>
09/19/16 13:29:32:368 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | Application Version: 9.0.0.24
09/19/16 13:29:32:368 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | cmdline option: -logFile = /Volumes/Storage/cache/library.fbellott/Application Support/Adobe/AAMUpdater/1.0/aamul.log
09/19/16 13:29:32:368 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | cmdline option: -logLevel = 2
09/19/16 13:29:32:368 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | StartupUtility : Loaded at startup/logon.
09/19/16 13:29:32:368 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | CheckIfUpdaterIsEnabled : UpdaterIsNotEnabled.
09/19/16 13:29:32:368 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | StartupUtility : WARNING - Updater is NOT enabled.
09/19/16 13:29:32:369 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | Updater has never been run on the machine.
09/19/16 13:29:32:369 | [INFO] |  | UPDATER | STARTUPUTILITY |  |  |  | 2449726 | StartupUtility : Window is NOT Elapsed.
